campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2,total
All Campuses,, , ,2018,1,1, ,506469.74,64997.25,72893.23,370.94,2973.8,543.55,144706,36176424,13825,73244,18306406,6998,31060,7763131,2967,249010,62245961,631800,239.689,2,2018-01-01T00:00:00.000,2973.8
All Campuses,, , ,2018,1,2, ,552186.39,57655.8,88989.68,365.63,3317.65,606.4,157768,39441901,15073,89418,22348869,8543,30616,7652082,2925,277802,69442852,764960,268.531,3,2018-01-02T00:00:00.000,3317.65
All Campuses,, , ,2018,1,3, ,574436.67,49949.1,113871.81,284.94,3611.47,660.1,164125,41031207,15680,114420,28597766,10932,23860,5963439,2280,302405,75592413,966144,284.778,4,2018-01-03T00:00:00.000,3611.47
All Campuses,, , ,2018,1,4, ,578616.59,68599.2,129642.87,225.02,3755.06,686.34,165319,41329773,15794,130267,32558510,12446,18842,4709287,1800,314428,78597571,1092708,276.964,5,2018-01-04T00:00:00.000,3755.06
All Campuses,, , ,2018,1,5, ,590163.43,69812.03,114585.69,227.35,3616.1,660.95,168618,42154548,16110,115137,28777050,11000,19037,4758103,1819,302793,75689701,973360,282.618,6,2018-01-05T00:00:00.000,3616.1
All Campuses,, , ,2018,1,6, ,533309.16,44924.89,107786.21,223.24,3336.4,609.82,152374,38093527,14558,108305,27069428,10347,18693,4672025,1786,279372,69834980,913506,265.146,7,2018-01-06T00:00:00.000,3336.4
All Campuses,, , ,2018,1,7, ,532914.35,54203.61,113534.52,226.7,3407.49,622.82,152261,38065326,14547,114081,28513058,10899,18983,4744444,1814,285325,71322828,959454,259.943,1,2018-01-07T00:00:00.000,3407.49
All Campuses,, , ,2018,1,8, ,619604.16,33959.84,124473.17,226.93,3834.78,700.92,177030,44257458,16913,125073,31260192,11949,19002,4749251,1815,321104,80266902,1055285,318.007,2,2018-01-08T00:00:00.000,3834.78
All Campuses,, , ,2018,1,9, ,633177.33,46206.08,137015.08,210.32,4014.99,733.85,180908,45226970,17284,137675,34409968,13153,17611,4401688,1683,336194,84038627,1156922,318.742,3,2018-01-09T00:00:00.000,4014.99
All Campuses,, , ,2018,1,10, ,607862.01,45423.92,102034.3,252.89,3551.41,649.13,173675,43418732,16593,102526,25624895,9795,21175,5292479,2023,297376,74336106,874650,305.401,4,2018-01-10T00:00:00.000,3551.41
All Campuses,, , ,2018,1,11, ,603088.52,70943.99,104651.6,228.48,3542.12,647.43,172311,43077769,16463,105156,26282203,10047,19131,4781647,1828,296598,74141619,895128,288.953,5,2018-01-11T00:00:00.000,3542.12
All Campuses,, , ,2018,1,12, ,592060.53,69728.29,107911.06,233.13,3548.26,648.55,169160,42290054,16161,108431,27100784,10359,19521,4879080,1865,297112,74269919,920145,283.603,6,2018-01-12T00:00:00.000,3548.26
All Campuses,, , ,2018,1,13, ,546648.93,73443.63,116008.3,233.34,3490.68,638.02,156185,39046368,14922,116567,29134325,11137,19538,4883353,1867,292291,73064047,980564,256.924,7,2018-01-13T00:00:00.000,3490.68
All Campuses,, , ,2018,1,14, ,521444.82,67898.8,116661.55,227.6,3406.78,622.68,148984,37246073,14234,117223,29298381,11200,19058,4763324,1821,285266,71307779,983369,246.371,1,2018-01-14T00:00:00.000,3406.78
All Campuses,, , ,2018,1,15, ,545010.47,61167.14,104497.08,228.17,3341.79,610.81,155717,38929335,14877,105000,26243397,10032,19106,4775300,1825,279824,69948032,888316,262.614,2,2018-01-15T00:00:00.000,3341.79
All Campuses,, , ,2018,1,16, ,630744.29,55348.48,121128.96,228.76,3834.5,700.87,180213,45053181,17217,121712,30420326,11628,19155,4787574,1830,321080,80261081,1029601,312.453,3,2018-01-16T00:00:00.000,3834.5
All Campuses,, , ,2018,1,17, ,614560.24,74884.71,117111.53,247.55,3749.85,685.4,175589,43897178,16776,117675,29411391,11243,20728,5180808,1980,313993,78489377,995910,293.07,4,2018-01-17T00:00:00.000,3749.85
All Campuses,, , ,2018,1,18, ,613747.43,71838.89,118313.42,243.78,3757.74,686.84,175356,43839120,16753,118883,29713232,11358,20413,5101957,1950,314652,78654309,1005447,294.263,5,2018-01-18T00:00:00.000,3757.74
All Campuses,, , ,2018,1,19, ,630397.78,77221.99,120971.13,237.38,3840.04,701.88,180114,45028431,17208,121554,30380689,11613,19877,4967938,1899,321544,80377057,1028306,300.38,6,2018-01-19T00:00:00.000,3840.04
All Campuses,, , ,2018,1,20, ,521765.61,14123.08,88277.94,248.62,3088.29,564.48,149076,37268987,14243,88703,22170122,8475,20818,5203131,1989,258597,64642240,756334,275.648,7,2018-01-20T00:00:00.000,3088.29
All Campuses,, , ,2018,1,21, ,519501.6,79824.23,77861.41,298.62,3005.57,549.36,148429,37107272,14181,78236,19554116,7475,25005,6249609,2389,251670,62910996,672790,238.762,1,2018-01-21T00:00:00.000,3005.57
All Campuses,, , ,2018,1,22, ,603606.48,66787.57,83678.99,315.76,3379.5,617.71,172459,43114766,16477,84082,21015142,8033,26440,6608404,2526,282981,70738312,727406,291.511,2,2018-01-22T00:00:00.000,3379.5
All Campuses,, , ,2018,1,23, ,616903.16,80212.22,104654.19,297.26,3658.08,668.63,176258,44064529,16840,105158,26282853,10047,24891,6221265,2378,306307,76568646,896482,291.364,3,2018-01-23T00:00:00.000,3658.08
