campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2,total
All Campuses,, , ,2019,1,1, ,512980,39944.69,51501.83,296.31,487.07,146566,36641443,14003,51750,12934170,4944,24811,6201250,2370,223127,55776864,461288,256.852,3,2019-01-01T00:00:00.000,2664.69
All Campuses,, , ,2019,1,2, ,539239.21,50601.33,52526.34,348.83,515.29,154068,38517102,14720,52779,13191464,5043,29209,7300390,2791,236056,59008956,472010,265.357,4,2019-01-02T00:00:00.000,2819.1
All Campuses,, , ,2019,1,3, ,563728.68,56971.23,57772.37,347.35,541.8,161065,40266350,15388,58051,14508953,5546,29085,7269482,2779,248201,62044785,516329,275.18,5,2019-01-03T00:00:00.000,2964.14
All Campuses,, , ,2019,1,4, ,551853.8,56823.94,63433.55,309.98,539.98,157673,39418144,15064,63739,15930701,6090,25956,6487360,2480,247367,61836205,560474,268.802,6,2019-01-04T00:00:00.000,2954.19
All Campuses,, , ,2019,1,5, ,503593.49,26170.64,64416.02,257.17,502.38,143884,35970978,13747,64726,16177438,6184,21534,5382071,2057,230144,57530488,563696,259.249,7,2019-01-05T00:00:00.000,2748.49
All Campuses,, , ,2019,1,6, ,498012.34,12899.5,57318.07,252.95,482.56,142289,35572324,13594,57594,14394861,5503,21181,5293929,2024,221064,55261114,506376,263.426,1,2019-01-06T00:00:00.000,2640.06
All Campuses,, , ,2019,1,7, ,566678.51,60215.98,67185.85,273.3,550.75,161908,40477053,15469,67509,16873055,6450,22885,5719807,2186,252302,63069915,591912,275.016,2,2019-01-07T00:00:00.000,3013.12
All Campuses,, , ,2019,1,8, ,581815.61,62819.59,85682.36,252.72,596.99,166233,41558274,15882,86095,21518267,8226,21161,5288944,2022,273489,68365485,741335,281.811,3,2019-01-08T00:00:00.000,3266.14
All Campuses,, , ,2019,1,9, ,582599.2,40454.02,95486.92,233.63,615.49,166457,41614245,15903,95947,23980585,9167,19563,4889405,1869,281966,70484235,819844,294.409,4,2019-01-09T00:00:00.000,3367.38
All Campuses,, , ,2019,1,10, ,576247.62,23095.82,90433,225.35,598.94,164642,41160561,15730,90868,22711343,8682,18870,4716200,1803,274380,68588104,778803,300.319,5,2019-01-10T00:00:00.000,3276.78
All Campuses,, , ,2019,1,11, ,576239.09,62623.81,83490.34,238.08,586.03,164640,41159952,15730,83892,20967763,8015,19935,4982557,1905,268467,67110272,723262,278.885,6,2019-01-11T00:00:00.000,3206.17
All Campuses,, , ,2019,1,12, ,524621.8,56824.97,80392.21,239.79,547.35,149892,37473000,14321,80779,20189700,7718,20078,5018340,1918,250750,62681040,693522,254.016,7,2019-01-12T00:00:00.000,2994.58
All Campuses,, , ,2019,1,13, ,520372.68,48858.51,75585.94,231.3,532.61,148678,37169492,14205,75950,18982652,7256,19368,4840822,1850,243996,60992966,654663,256.032,1,2019-01-13T00:00:00.000,2913.92
