campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2
Tempe,, , ,2022,1,1, ,298972.48,53886.12,44549.14,203.82,1758.54,321.43,85421,21355185,8161,44764,11188071,4277,17067,4265577,1631,147251,36808833,385113,133.091,7,2022-01-01T00:00:00.000
Tempe,, , ,2022,1,2, ,288086.18,54470.84,41034.17,219.26,1694.66,309.75,82310,20577592,7864,41232,10305321,3939,18360,4588741,1754,141902,35471655,355949,126.85,1,2022-01-02T00:00:00.000
Tempe,, , ,2022,1,3, ,309429.02,52555.23,49302.59,213.68,1861.12,340.18,88408,22102082,8446,49540,12381852,4733,17892,4471886,1709,155840,38955820,424145,139.483,2,2022-01-03T00:00:00.000
Tempe,, , ,2022,1,4, ,318858.52,51982.12,50756.87,203.32,1900.39,347.35,91102,22775618,8704,51001,12747079,4873,17025,4255173,1627,159129,39777870,436683,144.907,3,2022-01-04T00:00:00.000
Tempe,, , ,2022,1,5, ,318648.97,50900.36,52598.79,201.02,1919.48,350.84,91043,22760650,8698,52852,13209659,5049,16832,4207002,1608,160727,40177311,451398,145.394,4,2022-01-05T00:00:00.000
Tempe,, , ,2022,1,6, ,325269.08,44711.79,53668.88,194.95,1948.84,356.21,92934,23233515,8879,53927,13478402,5152,16324,4079917,1560,163185,40791834,460594,152.348,5,2022-01-06T00:00:00.000
Tempe,, , ,2022,1,7, ,324193.35,51100.54,60264.71,182.24,2011.61,367.68,92627,23156677,8850,60555,15134878,5785,15260,3814007,1458,168441,42105562,513256,148.28,6,2022-01-07T00:00:00.000
Tempe,, , ,2022,1,8, ,315973.63,37785.86,55879.78,174.18,1922.89,351.46,90278,22569554,8625,56149,14033648,5364,14585,3645328,1393,161012,40248529,477387,151.061,7,2022-01-08T00:00:00.000
Tempe,, , ,2022,1,9, ,309035.45,53625.43,64732.94,175.08,2006.35,366.72,88296,22073970,8436,65045,16257030,6214,14660,3664093,1401,168001,41995092,547546,138.693,1,2022-01-09T00:00:00.000
Tempe,, , ,2022,1,10, ,334095.1,52915.65,77979.21,186.64,2262.37,413.51,95456,23863945,9120,78355,19583698,7486,15629,3906144,1493,189439,47353788,655922,152.677,2,2022-01-10T00:00:00.000
Tempe,, , ,2022,1,11, ,350423.15,47022.38,74647.57,186.66,2278.12,416.39,100121,25030235,9566,75007,18746990,7166,15630,3906489,1493,190758,47683714,630837,164.746,3,2022-01-11T00:00:00.000
Tempe,, , ,2022,1,12, ,345115.45,42320.01,68833.29,187.45,2191.03,400.47,98604,24651113,9421,69165,17286792,6608,15696,3922980,1500,183465,45860886,583813,164.408,4,2022-01-12T00:00:00.000
Tempe,, , ,2022,1,13, ,343863.8,48002.21,68661.55,209.91,2207.16,403.42,98247,24561710,9386,68992,17243661,6592,17577,4393122,1679,184816,46198493,582321,160.659,5,2022-01-13T00:00:00.000
Tempe,, , ,2022,1,14, ,342921.2,36112.64,67648.32,212.27,2194.15,401.04,97977,24494381,9361,67974,16989198,6494,17774,4442505,1698,183726,45926085,574125,166.589,6,2022-01-14T00:00:00.000
Tempe,, , ,2022,1,15, ,346868.78,32728.39,67135.41,213.22,2202.41,402.55,99105,24776351,9468,67459,16860387,6445,17854,4462430,1706,184418,46099168,570401,170.572,7,2022-01-15T00:00:00.000
